zone_id,week_start,risk_score_0_100,risk_bin,scored_utc
zone_16,2025-01-18,97.94894,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-01-25,97.29875,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-02-01,98.002495,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-02-08,98.00917,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-02-15,97.96937,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-02-22,98.05384,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-03-01,97.95366,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-03-08,98.00345,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-03-15,98.01873,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-03-22,98.012245,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-03-29,97.99588,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-04-05,98.026726,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-04-12,98.03756,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-04-19,98.03116,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-04-26,97.929535,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-05-03,97.88903,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-05-10,96.98519,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-05-17,97.98245,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-05-24,98.02043,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-05-31,97.84582,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-06-07,94.38661,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-06-14,98.03823,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-06-21,97.89553,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-06-28,97.90323,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-07-05,75.37577,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-07-12,75.94177,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-07-19,87.05222,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-07-26,76.35809,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-08-02,62.094715,medium,2026-04-25T20:02:39.788341+00:00
zone_16,2025-08-09,62.551384,medium,2026-04-25T20:02:39.788341+00:00
zone_16,2025-08-16,73.35656,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-08-23,72.02421,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-08-30,59.22551,medium,2026-04-25T20:02:39.788341+00:00
zone_16,2025-09-06,57.087322,medium,2026-04-25T20:02:39.788341+00:00
zone_16,2025-09-13,63.759495,medium,2026-04-25T20:02:39.788341+00:00
zone_16,2025-09-20,66.716,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-09-27,68.468765,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-10-04,64.76672,medium,2026-04-25T20:02:39.788341+00:00
zone_16,2025-10-11,71.480576,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-10-18,66.59264,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-10-25,72.28571,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-11-01,82.57279,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-11-08,82.45709,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-11-15,71.14256,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-11-22,85.199265,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-11-29,79.53237,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-12-06,93.22364,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-12-13,96.03949,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-12-20,95.39024,high,2026-04-25T20:02:39.788341+00:00
zone_16,2025-12-27,90.24663,high,2026-04-25T20:02:39.788341+00:00
zone_16,2026-01-03,98.03463,high,2026-04-25T20:02:39.788341+00:00
zone_16,2026-01-10,97.99872,high,2026-04-25T20:02:39.788341+00:00
zone_16,2026-01-17,97.92543,high,2026-04-25T20:02:39.788341+00:00
zone_16,2026-01-24,97.9308,high,2026-04-25T20:02:39.788341+00:00
zone_16,2026-01-31,96.48125,high,2026-04-25T20:02:39.788341+00:00
zone_16,2026-02-07,97.95966,high,2026-04-25T20:02:39.788341+00:00
zone_16,2026-02-14,97.826256,high,2026-04-25T20:02:39.788341+00:00
zone_16,2026-02-21,98.011894,high,2026-04-25T20:02:39.788341+00:00
zone_16,2026-02-28,98.046745,high,2026-04-25T20:02:39.788341+00:00
zone_16,2026-03-07,97.982185,high,2026-04-25T20:02:39.788341+00:00
zone_16,2026-03-14,98.04541,high,2026-04-25T20:02:39.788341+00:00
zone_16,2026-03-21,98.03357,high,2026-04-25T20:02:39.788341+00:00
zone_16,2026-03-28,98.00385,high,2026-04-25T20:02:39.788341+00:00
zone_16,2026-04-04,97.980705,high,2026-04-25T20:02:39.788341+00:00
zone_16,2026-04-11,98.042564,high,2026-04-25T20:02:39.788341+00:00
zone_16,2026-04-18,97.99915,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-03-02,97.98778,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-03-09,98.01041,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-03-16,98.005,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-03-23,97.98426,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-03-30,98.05861,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-04-06,98.04428,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-04-13,98.009995,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-04-20,97.99155,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-04-27,98.00725,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-05-04,97.98877,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-05-11,98.00083,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-05-18,97.98556,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-05-25,97.97898,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-06-01,97.96935,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-06-08,97.99813,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-06-15,97.966866,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-06-22,97.93801,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-06-29,97.986946,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-07-06,97.778275,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-07-13,95.1754,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-07-20,97.93775,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-07-27,81.75577,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-08-03,93.214035,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-08-10,75.21854,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-08-17,85.44139,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-08-24,76.60461,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-08-31,82.1128,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-09-07,71.806145,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-09-14,81.2264,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-09-21,58.131268,medium,2026-04-25T20:02:39.788341+00:00
zone_17,2024-09-28,69.23195,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-10-05,86.084206,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-10-12,78.90613,high,2026-04-25T20:02:39.788341+00:00
zone_17,2024-10-19,75.51391,high,2026-04-25T20:02:39.788341+00:00
